"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"W59HA","No premises",NA,NA,NA,NA,FALSE,0
"W59HB","No premises",NA,NA,NA,NA,FALSE,0
"W59HD","No premises",NA,NA,NA,NA,FALSE,0
"W59HH","No premises",NA,NA,NA,NA,FALSE,0
"W59HN","No premises",NA,NA,NA,NA,FALSE,0
"W59HP","No premises",NA,NA,NA,NA,FALSE,0
"W59HQ","No premises",NA,NA,NA,NA,FALSE,0
"W59HR","No premises",NA,NA,NA,NA,FALSE,0
"W59HS","No premises",NA,NA,NA,NA,FALSE,0
"W59HT","No premises",NA,NA,NA,NA,FALSE,0
"W59HW","No premises",NA,NA,NA,NA,FALSE,0
"W59HX","No premises",NA,NA,NA,NA,FALSE,0
"W59HY","No premises",NA,NA,NA,NA,FALSE,0
"W59HZ","No premises",NA,NA,NA,NA,FALSE,0
