"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"TD66AA","No premises",NA,NA,NA,NA,FALSE,0
"TD66AE","No premises",NA,NA,NA,NA,FALSE,0
"TD66BA","No premises",NA,NA,NA,NA,FALSE,0
"TD66BB","No premises",NA,NA,NA,NA,FALSE,0
"TD66SA","No premises",NA,NA,NA,NA,FALSE,0
"TD66SD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66SE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66SF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66SG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66SH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66SJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66SL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66SN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66SP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66SQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66SR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66SS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66ST","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66SU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66SW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66SX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66SY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66SZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66TA","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66TB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66TD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66TE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66TF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66TG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66TH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66TJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66TL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66TN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66TP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66TQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66TR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66TS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66TT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"TD66TU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
