"Postcode.No.Spaces","Postcode.Data.Status","Lines.Less.Than.2Mbps.T.F","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","Superfast.Broadband.Available.T.F","Number.of.Connections"
"PO99AE","No premises",NA,NA,NA,NA,FALSE,0
"PO99AQ","No premises",NA,NA,NA,NA,FALSE,0
"PO99AR","No premises",NA,NA,NA,NA,FALSE,0
"PO99AU","No premises",NA,NA,NA,NA,FALSE,0
"PO99BE","No premises",NA,NA,NA,NA,FALSE,0
"PO99BP","No premises",NA,NA,NA,NA,FALSE,0
"PO99BQ","No premises",NA,NA,NA,NA,FALSE,0
"PO99BS","No premises",NA,NA,NA,NA,FALSE,0
"PO99BT","No premises",NA,NA,NA,NA,FALSE,0
"PO99DE","No premises",NA,NA,NA,NA,FALSE,0
"PO99DG","No premises",NA,NA,NA,NA,FALSE,0
"PO99DJ","No premises",NA,NA,NA,NA,FALSE,0
"PO99DL","No premises",NA,NA,NA,NA,FALSE,0
"PO99DP","No premises",NA,NA,NA,NA,FALSE,0
"PO99DQ","No premises",NA,NA,NA,NA,FALSE,0
"PO99DR","No premises",NA,NA,NA,NA,FALSE,0
"PO99DT","No premises",NA,NA,NA,NA,FALSE,0
"PO99DU","No premises",NA,NA,NA,NA,FALSE,0
"PO99DX","No premises",NA,NA,NA,NA,FALSE,0
"PO99DY","No premises",NA,NA,NA,NA,FALSE,0
"PO99DZ","No premises",NA,NA,NA,NA,FALSE,0
"PO99EA","No premises",NA,NA,NA,NA,FALSE,0
"PO99EB","No premises",NA,NA,NA,NA,FALSE,0
"PO99ED","No premises",NA,NA,NA,NA,FALSE,0
"PO99EE","No premises",NA,NA,NA,NA,FALSE,0
"PO99SA","No premises",NA,NA,NA,NA,FALSE,0
"PO99SB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"PO99SD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"PO99SE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"PO99SF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"PO99SG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"PO99SH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"PO99SJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"PO99SL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"PO99SN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"PO99SP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"PO99SQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"PO99SR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"PO99SS","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"PO99ST","Insufficient Premises",NA,NA,NA,NA,FALSE,1
