"Postcode.No.Spaces.","Postcode.Data.Status","Lines...2Mbps.Y.N.","Average.Speed.Mbps","Median.Speed.Mbps","Maximum.Speed.Mbps","NGA.Available.Y.N.","Number.of.Connections"
"LL635TU","OK",TRUE,2.3,2,4.9,FALSE,5
"LL635TW","OK",TRUE,4.8,5.4,6.7,FALSE,10
"LL635TY","OK",FALSE,6.4,6,7.4,FALSE,3
"LL635UA","Insufficient Data",NA,NA,NA,NA,FALSE,2
"LL635UB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635UB","No Data",NA,NA,NA,NA,FALSE,0
"LL635UD","OK",TRUE,2,2,2,FALSE,3
"LL635UE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635UE","No Data",NA,NA,NA,NA,FALSE,0
"LL635UF","No Data",NA,NA,NA,NA,FALSE,0
"LL635UG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635UG","No Data",NA,NA,NA,NA,FALSE,0
"LL635UH","OK",TRUE,2.6,2.3,4,FALSE,5
"LL635UL","OK",FALSE,3.5,3,5.7,FALSE,4
"LL635UN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635UN","No Data",NA,NA,NA,NA,FALSE,0
"LL635UP","OK",FALSE,3.2,2.8,4.3,FALSE,3
"LL635UR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635UR","No Data",NA,NA,NA,NA,FALSE,0
"LL635UT","OK",TRUE,1.6,1.4,3.7,FALSE,5
"LL635UU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635UU","No Data",NA,NA,NA,NA,FALSE,0
"LL635UW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635UW","No Data",NA,NA,NA,NA,FALSE,0
"LL635UY","Insufficient Data",NA,NA,NA,NA,FALSE,2
"LL635WZ","No premises",NA,NA,NA,NA,FALSE,0
"LL635YA","OK",TRUE,4,4,6.2,FALSE,4
"LL635YB","Insufficient Data",NA,NA,NA,NA,FALSE,2
"LL635YD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635YD","No Data",NA,NA,NA,NA,FALSE,0
"LL635YH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635YH","No Data",NA,NA,NA,NA,FALSE,0
"LL635YL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635YL","No Data",NA,NA,NA,NA,FALSE,0
"LL635YN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635YN","No Data",NA,NA,NA,NA,FALSE,0
"LL635YP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635YP","No Data",NA,NA,NA,NA,FALSE,0
"LL635YR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635YR","No Data",NA,NA,NA,NA,FALSE,0
"LL635YS","Insufficient Data",NA,NA,NA,NA,FALSE,1
"LL635YT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635YT","No Data",NA,NA,NA,NA,FALSE,0
"LL635YU","Insufficient Data",NA,NA,NA,NA,FALSE,2
"LL635YY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635YY","No Data",NA,NA,NA,NA,FALSE,0
"LL635AJ","OK",TRUE,2.3,2.8,3.4,FALSE,3
"LL635AQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635AQ","No Data",NA,NA,NA,NA,FALSE,0
"LL635AX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635AX","No Data",NA,NA,NA,NA,FALSE,0
"LL635AZ","OK",TRUE,2.8,3.1,5,FALSE,10
"LL635BJ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"LL635BQ","OK",TRUE,2.4,2.8,3.6,FALSE,7
"LL635BX","OK",TRUE,2.5,2.3,3.6,FALSE,8
"LL635BZ","OK",FALSE,3.5,3.4,3.8,FALSE,4
"LL635DJ","OK",TRUE,2.1,1.7,3.4,FALSE,5
"LL635DQ","OK",TRUE,2.3,2.3,3.7,FALSE,10
"LL635DX","Insufficient Data",NA,NA,NA,NA,FALSE,2
"LL635DZ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"LL635EJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635EJ","No Data",NA,NA,NA,NA,FALSE,0
"LL635EQ","OK",TRUE,2.1,2.1,2.8,FALSE,11
"LL635EX","Insufficient Data",NA,NA,NA,NA,FALSE,2
"LL635EY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635EY","No Data",NA,NA,NA,NA,FALSE,0
"LL635EZ","OK",TRUE,2.1,2.2,3.8,FALSE,22
"LL635HJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635HJ","No Data",NA,NA,NA,NA,FALSE,0
"LL635HX","Insufficient Data",NA,NA,NA,NA,FALSE,1
"LL635HZ","OK",TRUE,1.4,0.9,2.8,FALSE,5
"LL635LJ","Insufficient Data",NA,NA,NA,NA,FALSE,1
"LL635LQ","OK",TRUE,3.1,3.1,3.8,FALSE,6
"LL635LX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635LX","No Data",NA,NA,NA,NA,FALSE,0
"LL635LZ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"LL635NJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635NJ","No Data",NA,NA,NA,NA,FALSE,0
"LL635NQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635NQ","No Data",NA,NA,NA,NA,FALSE,0
"LL635NX","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635NX","No Data",NA,NA,NA,NA,FALSE,0
"LL635NZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635NZ","No Data",NA,NA,NA,NA,FALSE,0
"LL635PJ","OK",TRUE,0.8,0.7,1.4,FALSE,4
"LL635PQ","OK",FALSE,2.8,2.8,3.4,FALSE,4
"LL635RJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635RJ","No Data",NA,NA,NA,NA,FALSE,0
"LL635RN","OK",TRUE,1.8,1.9,3.4,FALSE,5
"LL635RP","OK",TRUE,2.5,2.3,4.7,FALSE,18
"LL635RQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635RQ","No Data",NA,NA,NA,NA,FALSE,0
"LL635RR","OK",TRUE,3.3,3.4,5.1,FALSE,7
"LL635RS","Insufficient Data",NA,NA,NA,NA,FALSE,2
"LL635RT","Insufficient Data",NA,NA,NA,NA,FALSE,2
"LL635RU","Insufficient Data",NA,NA,NA,NA,FALSE,2
"LL635RW","OK",FALSE,4,3.9,4.7,FALSE,4
"LL635RX","Insufficient Data",NA,NA,NA,NA,FALSE,2
"LL635RY","OK",TRUE,2.2,2.3,2.8,FALSE,10
"LL635RZ","OK",TRUE,0.5,0.6,0.8,FALSE,3
"LL635SA","Insufficient Data",NA,NA,NA,NA,FALSE,1
"LL635SB","OK",FALSE,2.6,2.6,2.8,FALSE,3
"LL635SD","OK",TRUE,1.8,2,2.3,FALSE,6
"LL635SE","Insufficient Data",NA,NA,NA,NA,FALSE,1
"LL635SF","OK",FALSE,3.8,4,5.1,FALSE,4
"LL635SG","No premises",NA,NA,NA,NA,FALSE,0
"LL635SH","OK",TRUE,2.3,2.3,3.4,FALSE,5
"LL635SJ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635SJ","No Data",NA,NA,NA,NA,FALSE,0
"LL635SL","No premises",NA,NA,NA,NA,FALSE,0
"LL635SN","OK",TRUE,4.1,4.1,6,FALSE,22
"LL635SP","OK",TRUE,4.3,5.7,7.5,FALSE,6
"LL635SQ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635SQ","No Data",NA,NA,NA,NA,FALSE,0
"LL635SR","OK",TRUE,4.8,5.1,7.6,FALSE,9
"LL635SS","OK",TRUE,3.8,4,7.4,FALSE,9
"LL635ST","OK",TRUE,4.8,5,8.1,FALSE,7
"LL635SU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635SU","No Data",NA,NA,NA,NA,FALSE,0
"LL635SW","OK",TRUE,1.8,1.4,3.9,FALSE,4
"LL635SX","OK",TRUE,1.6,1.5,3.1,FALSE,5
"LL635SY","OK",TRUE,4.8,4.3,8,FALSE,13
"LL635SZ","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635SZ","No Data",NA,NA,NA,NA,FALSE,0
"LL635TA","OK",FALSE,6,6.8,8,FALSE,9
"LL635TB","OK",TRUE,5.1,5.1,7.6,FALSE,17
"LL635TD","Insufficient Data",NA,NA,NA,NA,FALSE,2
"LL635TE","OK",TRUE,5.2,5.7,7.4,FALSE,4
"LL635TF","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635TF","No Data",NA,NA,NA,NA,FALSE,0
"LL635TG","OK",TRUE,2,1.9,2.3,FALSE,4
"LL635TN","OK",TRUE,4.3,4.6,6.6,FALSE,6
"LL635TP","OK",TRUE,3.4,3.1,6.5,FALSE,8
"LL635TQ","Insufficient Data",NA,NA,NA,NA,FALSE,2
"LL635TR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635TR","No Data",NA,NA,NA,NA,FALSE,0
"LL635TS","OK",TRUE,3.6,4.2,6.5,FALSE,8
"LL635TT","OK",TRUE,4,4,7.4,FALSE,6
"LL635TU","OK",TRUE,2.3,2,4.9,FALSE,5
"LL635TW","OK",TRUE,4.8,5.4,6.7,FALSE,10
"LL635TY","OK",FALSE,6.4,6,7.4,FALSE,3
"LL635UA","Insufficient Data",NA,NA,NA,NA,FALSE,2
"LL635UB","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635UB","No Data",NA,NA,NA,NA,FALSE,0
"LL635UD","OK",TRUE,2,2,2,FALSE,3
"LL635UE","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635UE","No Data",NA,NA,NA,NA,FALSE,0
"LL635UF","No Data",NA,NA,NA,NA,FALSE,0
"LL635UG","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635UG","No Data",NA,NA,NA,NA,FALSE,0
"LL635UH","OK",TRUE,2.6,2.3,4,FALSE,5
"LL635UL","OK",FALSE,3.5,3,5.7,FALSE,4
"LL635UN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635UN","No Data",NA,NA,NA,NA,FALSE,0
"LL635UP","OK",FALSE,3.2,2.8,4.3,FALSE,3
"LL635UR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635UR","No Data",NA,NA,NA,NA,FALSE,0
"LL635UT","OK",TRUE,1.6,1.4,3.7,FALSE,5
"LL635UU","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635UU","No Data",NA,NA,NA,NA,FALSE,0
"LL635UW","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635UW","No Data",NA,NA,NA,NA,FALSE,0
"LL635UY","Insufficient Data",NA,NA,NA,NA,FALSE,2
"LL635WZ","No premises",NA,NA,NA,NA,FALSE,0
"LL635YA","OK",TRUE,4,4,6.2,FALSE,4
"LL635YB","Insufficient Data",NA,NA,NA,NA,FALSE,2
"LL635YD","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635YD","No Data",NA,NA,NA,NA,FALSE,0
"LL635YH","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635YH","No Data",NA,NA,NA,NA,FALSE,0
"LL635YL","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635YL","No Data",NA,NA,NA,NA,FALSE,0
"LL635YN","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635YN","No Data",NA,NA,NA,NA,FALSE,0
"LL635YP","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635YP","No Data",NA,NA,NA,NA,FALSE,0
"LL635YR","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635YR","No Data",NA,NA,NA,NA,FALSE,0
"LL635YS","Insufficient Data",NA,NA,NA,NA,FALSE,1
"LL635YT","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635YT","No Data",NA,NA,NA,NA,FALSE,0
"LL635YU","Insufficient Data",NA,NA,NA,NA,FALSE,2
"LL635YY","Insufficient Premises",NA,NA,NA,NA,FALSE,1
"LL635YY","No Data",NA,NA,NA,NA,FALSE,0
